,By SGTF,,By NGS,,total,,Total propotion,,Percent,,,3 day frequency,,,,,
measurement_date,Delta,Omicron,Delta,Omicron,Delta,Omicron,Delta,Omicron,Omicron,,,Delta,Omicron,,,,
11/15/21,62,0,26,0,88,0,1.000,0.000,0.0%,1,11/15/21,1.000,0.000,,,,
11/16/21,81,0,59,0,140,0,1.000,0.000,0.0%,2,,1.000,0.000,,,,
11/17/21,60,0,61,0,121,0,1.000,0.000,0.0%,3,,1.000,0.000,,,,
11/18/21,64,0,23,0,87,0,1.000,0.000,0.0%,4,11/18/21,1.000,0.000,,,,
11/19/21,93,0,27,0,120,0,1.000,0.000,0.0%,5,,1.000,0.000,,,,
11/20/21,33,0,23,0,56,0,1.000,0.000,0.0%,6,,1.000,0.000,,,,
11/21/21,20,0,26,0,46,0,1.000,0.000,0.0%,7,11/21/21,1.000,0.000,,,,
11/22/21,172,0,40,0,212,0,1.000,0.000,0.0%,8,,1.000,0.000,,,,
11/23/21,76,0,5,0,81,0,1.000,0.000,0.0%,9,,1.000,0.000,,,,
11/24/21,95,0,0,0,95,0,1.000,0.000,0.0%,10,11/24/21,1.000,0.000,,,,
11/25/21,23,0,13,0,36,0,1.000,0.000,0.0%,11,,1.000,0.000,,,,
11/26/21,52,0,53,0,105,0,1.000,0.000,0.0%,12,,1.000,0.000,,,,
11/27/21,104,0,27,0,131,0,1.000,0.000,0.0%,13,11/27/21,1.000,0.000,,,,
11/28/21,67,0,37,0,104,0,1.000,0.000,0.0%,14,,1.000,0.000,,,,
11/29/21,134,0,16,0,150,0,1.000,0.000,0.0%,15,,1.000,0.000,,,,
11/30/21,166,0,46,0,212,0,1.000,0.000,0.0%,16,11/30/21,1.000,0.000,,,,
12/1/21,219,0,40,0,259,0,1.000,0.000,0.0%,17,,1.000,0.000,,,,
12/2/21,133,0,25,0,158,0,1.000,0.000,0.0%,18,,1.000,0.000,,,,
12/3/21,162,0,11,0,173,0,1.000,0.000,0.0%,19,12/3/21,0.995,0.005,,,,
12/4/21,108,0,30,2,138,2,0.986,0.014,1.4%,20,,0.989,0.011,,,,
