Date,days since detection,Omicron,Other
12/4/21,0,2,138
12/5/21,1,3,163
12/6/21,2,2,214
12/7/21,3,4,219
12/8/21,4,3,233
12/9/21,5,8,162
12/10/21,6,15,123
12/11/21,7,18,160
12/12/21,8,5,88
12/13/21,9,23,222
12/14/21,10,31,208
12/15/21,11,59,125
12/16/21,12,96,182
12/17/21,13,101,160
12/18/21,14,72,85
12/19/21,15,49,95
12/20/21,16,208,146
12/21/21,17,192,116
12/22/21,18,216,74
12/23/21,19,207,48
12/24/21,20,207,62
12/25/21,21,106,32
12/26/21,22,222,55
12/27/21,23,450,83
12/28/21,24,494,70
12/29/21,25,694,106
12/30/21,26,718,62
12/31/21,27,399,31
1/1/22,28,437,27
1/2/22,29,260,22
1/3/22,30,561,37
1/4/22,31,837,49
1/5/22,32,893,50
1/6/22,33,679,42
1/7/22,34,349,11
1/8/22,35,239,19
1/9/22,36,242,15
1/10/22,37,274,8
